Jackson, IN,12857,3843,832
Jasper, IN,9382,3329,620
Jay, IN,5697,1889,376
Jefferson, IN,8538,4325,598
Jennings, IN,8222,2364,529
Johnson, IN,45456,17318,3455
Knox, IN,11077,3772,634
Kosciusko, IN,23909,6311,1687
LaGrange, IN,7025,2080,447
Lake, IN,75565,116896,7786
LaPorte, IN,22678,19795,2521
Lawrence, IN,14034,4210,832
Madison, IN,32376,18595,2689
Marion, IN,130228,212676,18166
Marshall, IN,12286,4798,924
Martin, IN,3695,881,231
Miami, IN,9975,2766,699
Monroe, IN,20527,34183,2913
Montgomery, IN,11051,3362,688
Morgan, IN,23671,6037,1472
Newton, IN,4074,1403,314
Noble, IN,12198,3904,788
Ohio, IN,2118,686,113
Orange, IN,5800,2048,341
Owen, IN,6151,1946,423
Parke, IN,4863,1441,272
Perry, IN,4556,3062,407
Pike, IN,4398,1297,282
Porter, IN,38719,33531,4242
Posey, IN,8393,3515,540
Pulaski, IN,3854,1327,256
Putnam, IN,10637,3356,687
Randolph, IN,7515,2446,495
Ripley, IN,9806,2471,513
Rush, IN,5292,1525,397
Scott, IN,6074,2642,344
Shelby, IN,12718,4247,970
Spencer, IN,6572,2861,526
St. Joseph, IN,52019,52247,5186
Starke, IN,6367,2489,370
Steuben, IN,10127,3741,662
Sullivan, IN,6138,2113,308
Switzerland, IN,2558,930,151
